"dateUTC","dateLocal","parameter","location","locationURL","value","unit","city","country","latitude","longitude"
2015-07-01 09:20:00,2015-07-01 14:50:00,"pm25","Anand Vihar","Anand+Vihar",88,"µg/m³","Delhi","IN",NA,NA
2015-07-01 09:40:00,2015-07-01 15:10:00,"pm25","Anand Vihar","Anand+Vihar",75,"µg/m³","Delhi","IN",NA,NA
2015-07-01 10:10:00,2015-07-01 15:40:00,"pm25","Anand Vihar","Anand+Vihar",75,"µg/m³","Delhi","IN",NA,NA
2015-07-01 10:40:00,2015-07-01 16:10:00,"pm25","Anand Vihar","Anand+Vihar",62,"µg/m³","Delhi","IN",NA,NA
2015-07-01 11:20:00,2015-07-01 16:50:00,"pm25","Anand Vihar","Anand+Vihar",62,"µg/m³","Delhi","IN",NA,NA
2015-07-01 11:40:00,2015-07-01 17:10:00,"pm25","Anand Vihar","Anand+Vihar",112,"µg/m³","Delhi","IN",NA,NA
2015-07-01 12:10:00,2015-07-01 17:40:00,"pm25","Anand Vihar","Anand+Vihar",112,"µg/m³","Delhi","IN",NA,NA
2015-07-01 12:40:00,2015-07-01 18:10:00,"pm25","Anand Vihar","Anand+Vihar",153,"µg/m³","Delhi","IN",NA,NA
2015-07-01 13:10:00,2015-07-01 18:40:00,"pm25","Anand Vihar","Anand+Vihar",153,"µg/m³","Delhi","IN",NA,NA
2015-07-01 13:30:00,2015-07-01 19:00:00,"pm25","Anand Vihar","Anand+Vihar",80,"µg/m³","Delhi","IN",NA,NA
2015-07-01 14:10:00,2015-07-01 19:40:00,"pm25","Anand Vihar","Anand+Vihar",80,"µg/m³","Delhi","IN",NA,NA
2015-07-01 15:10:00,2015-07-01 20:40:00,"pm25","Anand Vihar","Anand+Vihar",29,"µg/m³","Delhi","IN",NA,NA
2015-07-01 15:40:00,2015-07-01 21:10:00,"pm25","Anand Vihar","Anand+Vihar",79,"µg/m³","Delhi","IN",NA,NA
2015-07-01 16:10:00,2015-07-01 21:40:00,"pm25","Anand Vihar","Anand+Vihar",79,"µg/m³","Delhi","IN",NA,NA
2015-07-01 16:40:00,2015-07-01 22:10:00,"pm25","Anand Vihar","Anand+Vihar",56,"µg/m³","Delhi","IN",NA,NA
2015-07-01 17:10:00,2015-07-01 22:40:00,"pm25","Anand Vihar","Anand+Vihar",56,"µg/m³","Delhi","IN",NA,NA
2015-07-01 17:40:00,2015-07-01 23:10:00,"pm25","Anand Vihar","Anand+Vihar",80,"µg/m³","Delhi","IN",NA,NA
2015-07-01 18:10:00,2015-07-01 23:40:00,"pm25","Anand Vihar","Anand+Vihar",80,"µg/m³","Delhi","IN",NA,NA
2015-07-01 18:40:00,2015-07-02 00:10:00,"pm25","Anand Vihar","Anand+Vihar",51,"µg/m³","Delhi","IN",NA,NA
2015-07-01 19:10:00,2015-07-02 00:40:00,"pm25","Anand Vihar","Anand+Vihar",51,"µg/m³","Delhi","IN",NA,NA
2015-07-01 19:40:00,2015-07-02 01:10:00,"pm25","Anand Vihar","Anand+Vihar",40,"µg/m³","Delhi","IN",NA,NA
2015-07-01 20:10:00,2015-07-02 01:40:00,"pm25","Anand Vihar","Anand+Vihar",40,"µg/m³","Delhi","IN",NA,NA
2015-07-01 20:30:00,2015-07-02 02:00:00,"pm25","Anand Vihar","Anand+Vihar",23,"µg/m³","Delhi","IN",NA,NA
2015-07-01 21:10:00,2015-07-02 02:40:00,"pm25","Anand Vihar","Anand+Vihar",23,"µg/m³","Delhi","IN",NA,NA
2015-07-01 21:40:00,2015-07-02 03:10:00,"pm25","Anand Vihar","Anand+Vihar",85,"µg/m³","Delhi","IN",NA,NA
2015-07-01 22:10:00,2015-07-02 03:40:00,"pm25","Anand Vihar","Anand+Vihar",85,"µg/m³","Delhi","IN",NA,NA
2015-07-01 22:40:00,2015-07-02 04:10:00,"pm25","Anand Vihar","Anand+Vihar",271,"µg/m³","Delhi","IN",NA,NA
2015-07-01 23:10:00,2015-07-02 04:40:00,"pm25","Anand Vihar","Anand+Vihar",271,"µg/m³","Delhi","IN",NA,NA
2015-07-01 23:40:00,2015-07-02 05:10:00,"pm25","Anand Vihar","Anand+Vihar",230,"µg/m³","Delhi","IN",NA,NA
2015-07-02 00:10:00,2015-07-02 05:40:00,"pm25","Anand Vihar","Anand+Vihar",230,"µg/m³","Delhi","IN",NA,NA
2015-07-02 00:40:00,2015-07-02 06:10:00,"pm25","Anand Vihar","Anand+Vihar",104,"µg/m³","Delhi","IN",NA,NA
2015-07-02 01:10:00,2015-07-02 06:40:00,"pm25","Anand Vihar","Anand+Vihar",104,"µg/m³","Delhi","IN",NA,NA
2015-07-02 01:40:00,2015-07-02 07:10:00,"pm25","Anand Vihar","Anand+Vihar",94,"µg/m³","Delhi","IN",NA,NA
2015-07-02 02:10:00,2015-07-02 07:40:00,"pm25","Anand Vihar","Anand+Vihar",94,"µg/m³","Delhi","IN",NA,NA
2015-07-02 02:40:00,2015-07-02 08:10:00,"pm25","Anand Vihar","Anand+Vihar",95,"µg/m³","Delhi","IN",NA,NA
